2016-12-07 17:30:18.747410||meta||agents||4
2016-12-07 17:30:18.747444||meta||treatnames||control ()@|experimental (politics)
2016-12-07 17:30:18.747550||meta||block_id start||0
2016-12-07 17:30:18.747562||meta||assignment||2@|1@|0@|3
2016-12-07 17:58:25.336906||measurement||ad||2016-12-07 17:58:24.384072@|Online LL.M in 1 Year@|college.ch/catalogue@|Online Master of Laws in 1 Year. No bachelor required. Do you want to know more? ||0||1
2016-12-07 17:58:25.961297||measurement||loadtime||0:00:05.798472||0||1
2016-12-07 17:58:30.869137||measurement||loadtime||0:00:07.457071||2||1
2016-12-07 17:58:36.360769||measurement||ad||2016-12-07 17:58:36.169084@|Online LL.M in 1 Year@|college.ch/catalogue@|Online Master of Laws in 1 Year. No bachelor required. Do you want to know more? ||0||1
2016-12-07 17:58:36.662032||measurement||loadtime||0:00:05.695641||0||1
2016-12-07 17:58:37.130559||measurement||ad||2016-12-07 17:58:36.866428@|Online LL.M in 1 Year@|college.ch@|Online Master of Laws in 1 Year. No bachelor required. Do you want to know more? ||3||0
2016-12-07 17:58:37.262325||measurement||loadtime||0:00:15.381355||3||0
2016-12-07 17:58:40.079382||measurement||ad||2016-12-07 17:58:40.009855@|Online LL.M in 1 Year@|college.ch@|Online Master of Laws in 1 Year. No bachelor required. Do you want to know more? ||2||1
2016-12-07 17:58:40.208460||measurement||loadtime||0:00:04.337791||2||1
2016-12-07 17:58:46.613676||measurement||loadtime||0:00:04.946733||0||1
2016-12-07 17:58:50.476111||measurement||loadtime||0:00:05.265068||2||1
2016-12-07 17:58:53.895392||measurement||loadtime||0:00:02.276750||0||1
2016-12-07 17:59:02.548488||measurement||ad||2016-12-07 17:59:02.307711@|Online LL.M in 1 Year@|college.ch/catalogue@|Online Master of Laws in 1 Year. No bachelor required. Do you want to know more? ||0||1
2016-12-07 17:59:02.617878||measurement||loadtime||0:00:03.717411||0||1
2016-12-07 17:59:13.162459||measurement||loadtime||0:00:05.543647||0||1
2016-12-07 17:59:15.224775||error||collecting ads||Error||1||0
2016-12-07 17:59:22.582747||measurement||ad||2016-12-07 17:59:22.305791@|Online LL.M in 1 Year@|college.ch/catalogue@|Online Master of Laws in 1 Year. No bachelor required. Do you want to know more? ||0||1
2016-12-07 17:59:22.745210||measurement||loadtime||0:00:04.577950||0||1
2016-12-07 17:59:31.094931||measurement||loadtime||0:00:03.348256||0||1
2016-12-07 17:59:31.094976||event||progress-marker||measurement-end||0||1
2016-12-07 17:59:42.277352||error||collecting ads||Error||3||0
2016-12-07 17:59:55.487942||error||collecting ads||Error||2||1
2016-12-07 18:00:20.231594||error||collecting ads||Error||1||0
2016-12-07 18:00:47.288125||error||collecting ads||Error||3||0
2016-12-07 18:01:00.497828||error||collecting ads||Error||2||1
2016-12-07 18:01:25.239920||error||collecting ads||Error||1||0
2016-12-07 18:01:52.300116||error||collecting ads||Error||3||0
2016-12-07 18:02:05.504750||error||collecting ads||Error||2||1
2016-12-07 18:02:30.249987||error||collecting ads||Error||1||0
2016-12-07 18:02:57.308252||error||collecting ads||Error||3||0
2016-12-07 18:03:10.514804||error||collecting ads||Error||2||1
2016-12-07 18:03:10.514864||event||progress-marker||measurement-end||2||1
2016-12-07 18:03:35.257502||error||collecting ads||Error||1||0
2016-12-07 18:04:02.317112||error||collecting ads||Error||3||0
2016-12-07 18:04:40.264358||error||collecting ads||Error||1||0
2016-12-07 18:05:07.326888||error||collecting ads||Error||3||0
2016-12-07 18:05:45.272885||error||collecting ads||Error||1||0
2016-12-07 18:06:12.337268||error||collecting ads||Error||3||0
2016-12-07 18:06:12.337322||event||progress-marker||measurement-end||3||0
2016-12-07 18:06:50.284090||error||collecting ads||Error||1||0
2016-12-07 18:06:50.284161||event||progress-marker||measurement-end||1||0
2016-12-07 18:06:50.366565||meta||block_id end||2
2016-12-07 18:06:50.366720||meta||block_id start||3
2016-12-07 18:06:50.366736||meta||assignment||1@|2@|3@|0
2016-12-07 18:06:52.066430||event||progress-marker||training-start||2||0
2016-12-07 18:06:52.066501||event||progress-marker||training-end||2||0
2016-12-07 18:06:52.256438||event||progress-marker||training-start||3||1
2016-12-07 18:06:52.272733||event||progress-marker||training-start||1||0
2016-12-07 18:06:52.272812||event||progress-marker||training-end||1||0
2016-12-07 18:06:52.347513||event||progress-marker||training-start||0||1
